ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,family_id,parent_id,bookkeeping,level,status,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
hili1240,Hiligaynon,Papunesia,10.4018,122.974,hili1240,hil,aust1307,capi1240,False,language,safe,,,0,0,4,PH
hind1269,Hindi,Eurasia,25.0,77.0,hind1269,hin,indo1319,hind1270,False,language,safe,,,0,0,4,BD BT IN NP
hiri1237,Hiri Motu,Papunesia,-9.33333,147.083,hiri1237,hmo,pidg1258,motu1248,False,language,safe,,,0,0,2,PG
hiww1237,Hiw,Papunesia,-13.126367,166.584857,hiww1237,hiw,aust1307,hiwl1234,False,language,definitely endangered,,,0,0,0,VU
huam1247,Huambisa,South America,-3.99109,-77.9797,huam1247,hub,jiva1245,shua1256,False,language,definitely endangered,,,0,0,0,PE
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,South America,-9.15718,-76.3372,huam1248,qvh,quec1387,huay1239,False,language,vulnerable,,,0,0,3,PE
huay1240,Huaylas Ancash Quechua,South America,-9.38709,-77.7768,huay1240,qwh,quec1387,huay1239,False,language,vulnerable,,,0,0,3,PE
hueh1236,Huehuetla Tepehua,North America,20.6189,-97.9347,hueh1236,tee,toto1251,tepe1243,False,language,definitely endangered,,,0,0,0,MX
hula1244,Hulaulá,Eurasia,31.9111,43.4865,hula1244,huy,afro1255,sout3219,False,language,definitely endangered,,,0,0,4,IL IR US
hung1274,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun,ural1272,ural1272,False,language,severely endangered,,,0,0,10,AT HR HU RO RS SI SK UA
